SF,TF,RESP,SFFIT ,TFFIT,FIT
-6,-5,-0.58745834,-6,-5,4.45E-10
-6,-3,2.208173431,-6,-3,6.96E-05
-6,-1,3.276685284,-6,-1,0.28607301
-6,1,15.76298981,-6,1,24.29877689
-6,3,34.49853875,-6,3,4.26E+01
-6,4,15.14539854,-6,4,1.32E+01
-5,-5,-5.247446114,-5,-5,2.36E-09
-5,-3,8.80388176,-5,-3,2.55E-04
-5,-1,-4.048926707,-5,-1,0.719467426
-5,1,38.14591271,-5,1,41.98426005
-5,3,44.4501373,-5,3,50.62407379
-5,4,9.791048621,-5,4,1.30E+01
-4,-5,-14.65840927,-4,-5,6.53E-09
-4,-3,2.487701995,-4,-3,5.08E-04
-4,-1,5.821605017,-4,-1,1.026710738
-4,1,34.53388507,-4,1,42.8972256
-4,3,24.2303589,-4,3,37.03441811
-4,4,-1.606141513,-4,4,8.033261287
-3,-5,-1.246583739,-3,-5,1.21E-08
-3,-3,-1.710355832,-3,-3,6.54E-04
-3,-1,8.554286042,-3,-1,0.911478347
-3,1,22.93950445,-3,1,26.26468419
-3,3,18.38403531,-3,3,15.63843286
-3,4,11.01132109,-3,4,2.817098036
-2,-5,-2.552119793,-2,-5,1.31E-08
-2,-3,-4.892334925,-2,-3,4.99E-04
-2,-1,4.083433648,-2,-1,4.86E-01
-2,1,1.868589616,-2,1,9.773320512
-2,3,17.39339394,-2,3,4.064166057
-2,4,1.598700308,-2,4,0.61183498
-1,-5,-3.601508704,-1,-5,8.60E-09
-1,-3,3.559257005,-1,-3,2.29E-04
-1,-1,1.870989349,-1,-1,1.56E-01
-1,1,1.615590581,-1,1,2.193177304
-1,3,7.186896694,-1,3,0.636958741
-1,4,1.860840857,-1,4,0.080136116
0,-5,-8.0835178,0,-5,3.40E-09
0,-3,8.062272834,0,-3,6.36E-05
0,-1,2.055424933,0,-1,3.02E-02
0,1,-6.222349903,0,1,0.296802112
0,3,5.300997323,0,3,0.060202261
0,4,10.48229033,0,4,0.006329712