SF,TF,RESP,SFFIT ,TFFIT,FIT,,,
-5,-5,-1.127483463,-5,-5,0.31714279,,3.972516537,-1.127483463
-5,-3,1.478659653,-5,-3,4.525351093,,6.578659653,1.478659653
-5,-1,13.89318754,-5,-1,19.52110193,,18.99318754,13.89318754
-5,1,21.96973219,-5,1,24.04706757,,27.06973219,21.96973219
-5,3,9.677484106,-5,3,8.459129287,,14.77748411,9.677484106
-5,4,9.421867554,-5,4,3.135790833,,14.52186755,9.421867554
-4,-5,1.485728607,-4,-5,0.172511648,,6.585728607,1.485728607
-4,-3,1.986529954,-4,-3,3.424652641,,7.086529954,1.986529954
-4,-1,16.63053703,-4,-1,20.67117796,,21.73053703,16.63053703
-4,1,39.87422351,-4,1,35.63031551,,44.97422351,39.87422351
-4,3,15.01080323,-4,3,17.53799147,,20.11080323,15.01080323
-4,4,11.65095983,-4,4,7.690411912,,16.75095983,11.65095983
-3,-5,1.7247822,-3,-5,0.068232509,,6.8247822,1.7247822
-3,-3,4.0986578,-3,-3,1.955515749,,9.1986578,4.0986578
-3,-1,25.10323353,-3,-1,17.14974215,,30.20323353,25.10323353
-3,1,42.36248008,-3,1,42.94964871,,47.46248008,42.36248008
-3,3,31.15695015,-3,3,30.71619256,,36.25695015,31.15695015
-3,4,7.315566602,-3,4,16.23532245,,12.4155666,7.315566602
-2,-5,1.977756779,-2,-5,0.021678523,,7.077756779,1.977756779
-2,-3,7.686436558,-2,-3,0.885873624,,12.78643656,7.686436558
-2,-1,19.9737444,-2,-1,11.14607302,,25.0737444,19.9737444
-2,1,33.5403969,-2,1,40.04771492,,38.6403969,33.5403969
-2,3,40.86857464,-2,3,41.09030283,,45.96857464,40.86857464
-2,4,21.58041833,-2,4,26.01415938,,26.68041833,21.58041833
-1,-5,1.856137752,-1,-5,0.005384767,,6.956137752,1.856137752
-1,-3,3.094871115,-1,-3,0.313748096,,8.194871115,3.094871115
-1,-1,11.5427215,-1,-1,5.663501862,,16.6427215,11.5427215
-1,1,17.86767099,-1,1,29.1940764,,22.96767099,17.86767099
-1,3,34.62560283,-1,3,42.97443514,,39.72560283,34.62560283
-1,4,32.57679537,-1,4,32.58798814,,37.67679537,32.57679537
0,-5,2.976517892,0,-5,0.00104569,,8.076517892,2.976517892
0,-3,-0.500812368,0,-3,0.086873897,,4.599187632,-0.500812368
0,-1,5.452116423,0,-1,2.249816441,,10.55211642,5.452116423
0,1,19.23362792,0,1,16.63836373,,24.33362792,19.23362792
0,3,32.75072617,0,3,35.13823045,,37.85072617,32.75072617
0,4,35.37919836,0,4,31.91568552,,40.47919836,35.37919836