name,min_sf,max_sf,min_tf,max_tf,status
CALSTC01-LM-01-2918-cell1,-5,0,-5,4,good
CALSTC01-LM-01-2964-cell1,-5,0,-5,4,good
CALSTC01-LM-01-2964-cell2,-5,0,-5,4,good
CALSTC01-LM-03-3009-cell1,-5,-2,-5,4,constrain_me
CALSTC01-LM-03-3009-cell2,-5,0,-5,4,good
CALSTC01-LM-05-3226-cell1,-5,0,-5,4,good
CALSTC01-LM-06-3176-cell2,-5,0,-5,4,good
CALSTC04-LM-01-3040-cell2,-6,0,-3,4,constrain_me
CALSTC04-LM-01-3289-cell1,-6,0,-5,4,good
CALSTC04-LM-01-3289-cell2,-6,0,-5,4,good
CALSTC04-LM-01-3523-cell1,-6,0,-5,4,good
CALSTC04-LM-01-3523-cell2,-6,0,-5,4,good
CALSTC05-LM-01-3865-cell1,-6,0,-5,4,good
CALSTC05-LM-03-3860-cell1,-6,-2.5,-5,4,constrain_me
CALSTC05-LM-03-3860-cell2,-6,0,-5,4,good
CALSTC06-LM-02-3472-cell1,-6,0,-5,4,good
CALSTC07-LM-04-3755-cell1,-6,0,-5,4,good
CALSTC07-LM-04-3755-cell2,-6,-4,-5,4,constrain_me
CALSTC07-LM-05-3547-cell1,-6,0,-5,4,good
CALSTC07-LM-05-3547-cell2,-6,0,-5,4,good
CALSTC07-LM-05-3606-cell2,-5,-2,-2.5,4,constrain_me
CALSTC07-LM-05-3606-cell3,-6,-3,-5,4,constrain_me
CALSTC07-LM-05-3657-cell1,-6,0,-5,4,good
CALSTC07-LM-05-3657-cell2,-6,0,-1,4,constrain_me
CALSTC07-LM-07-3501-cell1,-6,-4,-4,4,constrain_me
CALSTC07-LM-07-3588-cell1,-6,0,-2.5,4,constrain_me
CALSTC07-LM-09-3210-cell1,-6,0,-5,4,good
CALSTC08-LM-01-3183-cell1,-6,0,-5,4,good
CALSTC08-LM-01-3183-cell2,-5,0,-5,4,constrain_me
CALSTC08-LM-03-3070-cell1,-6,0,-5,4,good
CALSTC08-LM-03-3070-cell2,-6,0,-5,4,good
CALSTC08-LM-03-3070-cell3,-6,0,-5,4,good
CALSTC08-LM-03-3147-cell1,-6,0,-5,4,good
CALSTC08-LM-03-3147-cell2,-6,0,-5,4,good
CALSTC08-LM-03-3147-cell3,-6,0,-5,4,good
CALSTC08-LM-03-3203-cell1,-6,0,-5,4,good
CALSTC08-LM-03-3203-cell2,-6,0,-5,4,good
CALSTC08-LM-03-3575-cell1,-6,0,-5,4,good
CALSTC08-LM-03-3575-cell2,-6,0,-5,4,good
CALSTC08-LM-03-3622-cell1,-6,0,-5,4,good
CALSTC08-LM-03-3681-cell1,-6,0,-5,4,good
CALSTC08-LM-03-3681-cell2,-5,0,-5,4,constrain_me
CALSTC08-LM-03-3739-cell1,-6,0,-5,4,good
CALSTC08-LM-04-3345-cell2,-6,0,-5,4,good
CALSTC08-LM-04-3411-cell1,-6,0,-5,4,good
CALSTC08-LM-04-3411-cell2,-6,0,-1,4,constrain_me
CALSTC08-LM-04-3482-cell1,-6,0,-5,1,constrain_me
CALSTC08-LM-04-3482-cell2,-6,0,-5,1,constrain_me
CALSTC08-LM-04-3551-cell1,-6,0,-5,4,good
CALSTC09-LM-02-2941-cell1,-6,0,-5,4,good
CALSTC09-LM-02-2941-cell2,-5,0,-1,4,constrain_me
CALSTC09-LM-02-3001-cell1,-6,0,-5,4,good
CALSTC09-LM-02-3001-cell2,-6,0,-5,4,good
CALSTC09-LM-03-3163-cell1,-6,0,-5,4,good
CALSTC09-LM-03-3163-cell2,-6,0,-5,4,good
CALSTC09-LM-03-3220-cell1,-6,0,-5,4,good
CALSTC09-LM-03-3220-cell2,-6,0,-5,4,good
CALSTC09-LM-03-3285-cell1,-6,0,-5,4,good
CALSTC09-LM-03-3285-cell2,-6,0,-5,4,good
CALSTC09-LM-03-3530-cell1,-6,0,-5,4,good
CALSTC09-LM-03-3530-cell2,-6,0,-5,4,good
CALSTC09-LM-03-3530-cell3,-6,0,-5,4,good
CALSTC09-LM-03-3594-cell1,-6,-3,-5,4,constrain_me
CALSTC09-LM-03-3668-cell1,-6,0,-5,4,good
CALSTC09-LM-03-3668-cell2,-6,-3,-5,4,constrain_me
CALSTC09-LM-03-3731-cell1,-6,0,1,4,constrain_me
CALSTC09-LM-03-3731-cell2,-6,0,-5,4,good
CALSTC09-LM-03-3800-cell2,-6,0,-5,4,good
CALSTC09-LM-03-3800-cell4,-6,0,-5,4,good
CALSTC09-LM-04-3463-cell1,-6,0,-3,3,constrain_me
CALSTC09-LM-04-3595-cell1,-3,0,-5,4,constrain_me
CALSTC09-LM-04-3595-cell4,-6,0,-5,4,good
STC01-LM-01-5466-cell1,-5,0,-5,4,good
STC01-LM-01-5466-cell2,-5,0,-5,4,good
STC01-LM-01-5531-cell1,-5,0,-5,4,good
STC01-LM-02-5254-cell1,-5,0,-5,4,good
STC01-LM-06-5286-cell1,-5,0,-5,4,good
STC01-LM-07-5424-cell1,-5,0,-5,4,good
STC01-LM-10-5435-cell1,-5,0,-5,4,good
STC02-LM-01-5324-cell1,-5,0,-5,4,good
STC02-LM-01-5385-cell1,-5,0,-5,4,good
STC02-LM-01-5450-cell1,-5,0,-5,1,constrain_me
STC02-LM-01-5450-cell2,-5,0,-5,4,good
STC02-LM-01-5525-cell1,-5,0,-5,4,good
STC02-LM-01-5525-cell2,-5,0,-5,4,good
STC02-LM-02-5253-cell1,-5,0,-5,4,good
STC02-LM-02-5253-cell2,-5,-2,-5,4,constrain_me
STC02-LM-02-5304-cell2,-5,0,-5,4,good
STC02-LM-02-5375-cell1,-5,0,-5,4,good
STC02-LM-02-5447-cell1,-5,0,-5,4,good
STC02-LM-03-5423-cell1,-5,-2,-5,4,constrain_me
STC02-LM-03-5498-cell1,-5,0,-5,4,good
STC02-LM-05-5160-cell1,-5,0,-5,4,good
STC02-LM-05-5517-cell1,-5,0,-5,4,good
STC03-LM-03-5176-cell1,-5,0,-5,4,good
STC03-LM-03-5249-cell1,-5,0,-5,4,good
STC03-LM-03-5249-cell2,-5,0,-5,4,good
STC03-LM-03-5330-cell1,-5,0,-5,4,good
STC03-LM-03-5483-cell1,-5,0,-5,4,good
STC03-LM-03-5590-cell1,-5,0,-5,4,good
STC04-LM-01-5098-cell1,-5,0,-5,4,good
STC04-LM-01-5225-cell2,-5,0,-5,4,good
STC04-LM-02-5259-cell1,-5,0,-5,4,good
STC05-LM-01-5409-cell1,-5,-2,-5,4,constrain_me
STC05-LM-01-5474-cell1,-5,0,-5,4,good
STC05-LM-02-5612-cell1,-5,0,-5,4,good
STC05-LM-05-5696-cell1,-5,0,-5,4,good
STC05-LM-09-5640-cell1,-5,0,-5,4,good
STC06-LM-04-5545-cell1,-5,0,-5,4,good
STC06-LM-04-5545-cell2,-5,0,-5,4,good
STC06-LM-04-5602-cell1,-5,0,-5,4,good
STC06-LM-04-5602-cell2,-5,0,-5,4,good
STC06-LM-06-5764-cell1,-5,0,-5,4,good
STC06-LM-06-5914-cell1,-5,0,-5,4,good
STC06-LM-07-5630-cell1,-5,0,-5,4,good
STC06-LM-08-5922-cell1,-5,0,-5,4,good
STC06-LM-08-5922-cell2,-5,0,-5,4,good
STC06-LM-11-5169-cell1,-5,-2,-5,4,constrain_me
STC07-LM-01-5637-cell1,-5,0,-5,4,good
STC07-LM-05-5756-cell1,-5,0,-5,4,good
STC07-LM-06-5901-cell1,-5,0,-5,4,good
STC07-LM-11-5904-cell1,-5,0,-5,4,good
STC07-LM-13-5909-cell1,-5,0,-5,4,good
STC08-LM-04-5655-cell1,-5,0,-5,4,good
STC08-LM-04-5709-cell1,-5,0,-5,4,good
STC08-LM-04-5709-cell2,-5,0,-5,4,good
STC08-LM-05-5655-cell1,-2,0,-5,4,constrain_me
STC08-LM-05-5655-cell2,-3,0,-5,4,constrain_me
STC08-LM-05-5707-cell1,-3,0,-5,4,constrain_me
STC08-LM-05-5775-cell1,-5,0,-5,4,good
STC08-LM-09-5571-cell1,-5,0,-5,4,good
STC08-LM-09-5629-cell1,-3,0,-5,4,constrain_me
STC08-LM-15-5514-cell1,-5,0,-5,4,good
STC09-LM-08-5154-cell1,-5,0,-5,4,good
STC09-LM-08-5154-cell2,-5,0,-5,4,good
STC09-LM-08-5217-cell1,-5,0,-5,4,good
STC09-LM-08-5217-cell2,-5,0,-5,4,good
STC09-LM-08-5289-cell1,-5,0,-5,4,good
STC09-LM-08-5289-cell2,-5,0,-5,4,good
STC09-LM-08-5371-cell2,-5,0,-5,4,good
STC09-LM-08-5478-cell1,-5,-1,-5,4,constrain_me
STC09-LM-09-5004-cell1,-5,0,-5,4,good
STC09-LM-09-5004-cell2,-5,0,-5,4,good
STC09-LM-11-5150-cell1,-5,0,-5,4,good
STC09-LM-11-5150-cell2,-5,0,-5,4,good
STC09-LM-11-5235-cell1,-5,0,-5,4,good
STC09-LM-11-5311-cell1,-5,0,-5,4,good
